event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BGD28051,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Jubo League,Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rajshahi,Bogra,Sahajanpur,Shajahanpur,24.7666,89.4,2,Prothom Alo,National,"On 5 August 2024, unidentified assailants hacked and killed a local Jubo League leader at Kharna Bazar in Shajahanpur (Sahajanpur) upazila (Bogra, Rajshahi), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28052,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Satkhira,Satkhira Sadar,Satkhira,22.7082,89.0719,2,Prothom Alo,National,"On 5 August 2024, unidentified persons assaulted and killed an Awami League member of Baikari village, Sadar Upazila (Satkhira, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28052,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),AL: Bangladesh Awami League,Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Satkhira,Satkhira Sadar,Satkhira,22.7082,89.0719,2,Prothom Alo,National,"On 5 August 2024, unidentified persons assaulted and killed an Awami League member of Baikari village, Sadar Upazila (Satkhira, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28054,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Meherpur,Meherpur Sadar,Meherpur,23.7769,88.6303,1,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized and set ablaze the house of the District Awami League Legal Affairs Secretary with sticks, rods, and iron pipes; vandalized, looted and set ablaze at least 7 Hindu houses and assaulted occupants, including in Malopara area; and attacked and looted a Hindu business establishment in the Bara Bazar area, of Meherpur city (Meherpur Sadar, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576772
BGD28054,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),AL: Bangladesh Awami League; Hindu Group (Bangladesh),Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Meherpur,Meherpur Sadar,Meherpur,23.7769,88.6303,1,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized and set ablaze the house of the District Awami League Legal Affairs Secretary with sticks, rods, and iron pipes; vandalized, looted and set ablaze at least 7 Hindu houses and assaulted occupants, including in Malopara area; and attacked and looted a Hindu business establishment in the Bara Bazar area, of Meherpur city (Meherpur Sadar, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",0,crowd size=no report,1723576772
BGD28055,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,23.5214,89.6494,2,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized the house, pharmacy and Kali mandir (Temple of Hindu goddess Kali) of a doctor belonging to the Hindu community in Bamundi Bazar, Madhukhali upazila (Faridpur, Dhaka), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The crowd also assaulted him. They also vandalized and looted a flour mill belonging to the Hindu community near Madukhali-Naopara road in Madhukhali upazila.",0,crowd size=no report,1723576772
BGD28055,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Health Workers (Bangladesh); Hindu Group (Bangladesh),Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,23.5214,89.6494,2,Prothom Alo,National,"On 5 August 2024, unidentified persons vandalized the house, pharmacy and Kali mandir (Temple of Hindu goddess Kali) of a doctor belonging to the Hindu community in Bamundi Bazar, Madhukhali upazila (Faridpur, Dhaka), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The crowd also assaulted him. They also vandalized and looted a flour mill belonging to the Hindu community near Madukhali-Naopara road in Madhukhali upazila.",0,crowd size=no report,1723576772
BGD28058,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur,25.6274,88.6377,1,Prothom Alo,National,"On 5 August 2024, unidentified persons looted, and vandalized houses of Hijras (transgender, intersex, or eunuch people) in Hijrapalli in Majhadanga Bangibecha Ghat area in Dinajpur city (Dinajpur, Rangpur), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. They were inside the house at the time of the incident.",0,crowd size=no report,1723576772
BGD28058,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),LGBTQ+ (Bangladesh),Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur,25.6274,88.6377,1,Prothom Alo,National,"On 5 August 2024, unidentified persons looted, and vandalized houses of Hijras (transgender, intersex, or eunuch people) in Hijrapalli in Majhadanga Bangibecha Ghat area in Dinajpur city (Dinajpur, Rangpur), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. They were inside the house at the time of the incident.",0,crowd size=no report,1723576772
BGD28063,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Chuadanga,Chuadanga Sadar,Chuadanga,23.643,88.8529,1,Prothom Alo,National,"On 5 August 2024, unidentified assailants set ablaze the house of the former convener of District Jubo League in Chuadanga city (Chuadanga Sadar, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. 4 people were killed.",4,crowd size=no report,1723576772
BGD28063,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Jubo League,Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Khulna,Chuadanga,Chuadanga Sadar,Chuadanga,23.643,88.8529,1,Prothom Alo,National,"On 5 August 2024, unidentified assailants set ablaze the house of the former convener of District Jubo League in Chuadanga city (Chuadanga Sadar, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. 4 people were killed.",4,crowd size=no report,1723576772
BGD28064,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rajshahi,Bogra,Bogra Sadar,Bogra,24.853,89.3732,1,Prothom Alo,National,"On 5 August 2024, unidentified assailants hacked and killed a local Jubo League leader in the Malgram Dighipara area in Bogra city (Bogra Sadar, Rajshahi), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28064,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Jubo League,Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rajshahi,Bogra,Bogra Sadar,Bogra,24.853,89.3732,1,Prothom Alo,National,"On 5 August 2024, unidentified assailants hacked and killed a local Jubo League leader in the Malgram Dighipara area in Bogra city (Bogra Sadar, Rajshahi), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement.",1,crowd size=no report,1723576772
BGD28065,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rangpur,Dinajpur,Bochaganj,Bochaganj,25.8054,88.4594,2,Prothom Alo,National,"On 5 August 2024, at least 100 people armed with sticks and sharp weapons vandalized and looted at least 40 Hindu shops in Chowrangi Bazaar of Isania Union of Bochaganj Upazila (Dinajpur district, Rangpur), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. They were inside their shops at the time of the incident.",0,crowd size=at least 100,1723576772
BGD28065,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Hindu Group (Bangladesh); Labor Group (Bangladesh),Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Rangpur,Dinajpur,Bochaganj,Bochaganj,25.8054,88.4594,2,Prothom Alo,National,"On 5 August 2024, at least 100 people armed with sticks and sharp weapons vandalized and looted at least 40 Hindu shops in Chowrangi Bazaar of Isania Union of Bochaganj Upazila (Dinajpur district, Rangpur), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. They were inside their shops at the time of the incident.",0,crowd size=at least 100,1723576772
BGD28066,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Barisal,Barisal,Barisal Sadar,Barisal,22.705,90.3701,1,Prothom Alo,National,"On 5 August 2024, unidentified persons set ablaze the houses of the Barisal Metropolitan Awami League general secretary and former mayor of City Corporation in Barisal city (Barisal Sadar), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. Three persons, including two Jubo league members, were charred to death.",3,crowd size=no report; local administrators,1723576772
BGD28066,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Civilians (Bangladesh),Jubo League,Civilians,Rioters-Civilians,Civilian targeting,50,South Asia,Bangladesh,Barisal,Barisal,Barisal Sadar,Barisal,22.705,90.3701,1,Prothom Alo,National,"On 5 August 2024, unidentified persons set ablaze the houses of the Barisal Metropolitan Awami League general secretary and former mayor of City Corporation in Barisal city (Barisal Sadar), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. Three persons, including two Jubo league members, were charred to death.",3,crowd size=no report; local administrators,1723576772
BGD28076,5-Aug-24,2024,1,Political violence,Riots,Mob violence,Rioters (Bangladesh),,Rioters,Rioters-Rioters,,50,South Asia,Bangladesh,Khulna,Satkhira,Assasuni,Kalyanpur,22.3891,89.2014,1,Prothom Alo,National,"On 5 August 2024, several thousand people attacked the house of a local AL leader in Kalyanpur village (Satkhira, Khulna), amid the outbreak of violence after the resignation of the Prime Minister, following anti-government demonstrations emerging from the quota reform movement. The AL leader fired at the crowd, leading to 3 people being killed, after which the mob set ablaze his house and beat and killed the AL leader along with 5 of his relatives. Total 9 fatalities.",9,crowd size=a thousand,1723576772
